source_center,destination_center,median_factor,mean_factor,corridor_volume,median_actual_time,median_osrm_time,median_distance
IND124141AAA,IND000000ACB,1.8113207547169812,1.7290003181217077,39,129.0,72.0,83.9441
IND124507AAA,IND131028AAB,2.150974025974026,2.4447321612961557,18,96.5,41.5,37.665800000000004
IND124507AAA,IND131028AAE,2.4585166561910747,2.6092627733998603,6,106.0,43.5,36.738150000000005
IND125001AAA,IND000000ACB,1.8910463861920173,1.976277803481263,70,160.0,90.0,110.13974999999999
IND125001AAA,IND110037AAM,2.146067415730337,2.7695872728031263,77,188.0,89.0,115.9652
IND125001AAA,IND125047AAB,2.0424603174603173,1.99392365570937,14,61.0,29.5,35.59025
IND125001AAA,IND125051AAA,2.2115384615384617,2.3990361490361494,3,115.0,52.0,63.0694
IND125001AAA,IND335501AAA,2.0676544590438914,3.3393508198556625,4,124.0,61.0,64.96445
IND125001AAA,IND335513AAA,1.6818181818181819,1.6981246363572802,51,167.0,95.0,105.223
IND125001AAA,IND335523AAB,3.176470588235294,2.7730344385476005,20,299.0,90.0,78.2902
IND125001AAA,IND335524AAA,1.8879233511586453,1.7385923540502843,30,193.5,105.0,101.3868
IND125005AAA,IND000000ACB,1.7755102040816326,1.8213025800809584,35,154.0,91.0,110.8012
IND125005AAA,IND125047AAB,2.208235294117647,2.218935574229692,6,65.5,29.5,36.2118
IND125005AAA,IND335513AAA,1.7321428571428572,1.703530657664714,21,166.0,95.0,104.8926
IND125005AAA,IND335523AAB,2.5274725274725274,2.1245286825036103,5,230.0,91.0,78.56960000000001
IND125005AAA,IND335524AAA,1.5555555555555556,1.4503199709278685,13,184.0,115.0,113.2797
IND125033AAA,IND125001AAA,2.0,1.9948400412796696,3,34.0,17.0,21.2745
IND125033AAA,IND125005AAA,2.0620915032679736,2.0620915032679736,2,36.0,17.5,21.5574
IND125047AAB,IND125050AAA,2.857142857142857,2.857142857142857,2,73.0,26.0,34.342999999999996
IND125047AAB,IND125051AAA,2.1551724137931036,1.9636019608504773,29,116.0,53.0,64.3391
IND125050AAA,IND125051AAA,1.6363636363636365,1.6911976911976911,3,36.0,22.0,23.859
IND125051AAA,IND125111AAA,1.0489583333333332,1.0351897204806688,4,32.0,31.0,21.792
IND125104AAA,IND125005AAA,2.5871559633027523,2.65807763902476,7,180.0,73.0,100.1538
IND125111AAA,IND125121AAA,3.295866935483871,3.0226587424672102,4,99.5,31.5,35.255750000000006
IND125121AAA,IND125001AAA,3.9833333333333334,3.6165884590172444,6,107.0,26.0,32.96195
IND126102AAA,IND126116AAA,2.2426470588235294,2.2163736146632567,10,42.0,20.0,28.5929
IND126102AAA,IND131301AAA,1.9873015873015873,2.023015873015873,4,53.5,26.5,36.3337
IND126112AAA,IND131028AAB,1.9603174603174602,2.1030038230565107,64,69.0,52.5,68.4492
IND126116AAA,IND131301AAA,2.846753246753247,2.843431467304528,20,141.5,47.0,63.6963
IND127021AAA,IND127201AAA,1.810672514619883,2.065927161979794,24,65.0,36.0,52.1198
IND127201AAA,IND124141AAA,2.41875,2.451603349673203,8,77.5,32.5,46.62845
IND131021AAA,IND131028AAA,1.5833333333333333,1.6437263437263439,111,15.0,10.0,12.0124
IND131028AAB,IND000000ACB,1.4819264069264069,1.641853110658509,760,93.5,63.0,69.7481
IND131028AAB,IND110037AAM,2.8173076923076925,2.73357999459418,30,103.0,36.0,36.619150000000005
IND131028AAB,IND124001AAB,1.6095238095238096,1.6375036439865633,12,76.0,48.5,49.8388
IND131028AAB,IND124507AAA,1.8215369059656217,2.0246550589599996,20,77.5,36.0,32.26935
IND131028AAB,IND132103AAA,2.891025641025641,3.4643895530992306,6,107.5,36.0,47.20265
IND131028AAB,IND136118AAA,1.8518518518518519,1.8562405111551314,102,117.0,64.0,86.33985
IND131028AAB,IND160002AAC,1.6479568926807364,1.7204298788768873,240,127.0,77.5,108.66825
IND131028AAB,IND201204AAA,2.0952380952380953,2.1130058705291535,27,85.0,42.0,56.5064
IND131028AAB,IND244001AAA,1.630532706619663,1.7244865715123787,152,158.5,109.0,128.3259
IND131028AAB,IND244235AAA,1.4965252525252524,1.4581676098425038,126,145.0,92.5,106.89160000000001
IND131028AAB,IND247667AAA,1.6695275821596245,1.719147280226074,30,141.5,84.0,83.70865
IND131028AAB,IND247667AAB,1.7578817733990149,1.742033448991165,90,143.5,84.0,83.72800000000001
IND131028AAB,IND248001AAA,1.4589539887454483,1.430864518378287,18,229.0,159.5,132.86495000000002
IND131028AAB,IND248001AAD,1.6395348837209303,1.5510381100468176,9,227.0,160.0,132.949
IND131028AAB,IND249407AAA,2.336448598130841,2.432085299530504,7,250.0,107.0,101.219
IND131028AAB,IND250002AAA,1.8983050847457628,1.945185506964157,3,112.0,59.0,72.5457
IND131028AAB,IND250002AAC,5.625,5.625,1,405.0,72.0,89.7878
IND131028AAB,IND250609AAA,2.9545454545454546,2.9545454545454546,1,65.0,22.0,24.9115
IND131028AAB,IND250611AAA,3.4423076923076925,3.5771737521737523,6,106.5,29.5,32.76845
IND131028AAB,IND251001AAA,1.8565116768356829,1.8189418766400627,42,116.0,69.5,87.93605
IND131028AAE,IND124507AAA,1.6597701149425288,1.6597701149425288,2,62.0,37.0,34.7797
IND131301AAA,IND131028AAB,2.9885290148448043,2.9612557033609668,6,92.0,35.0,49.22065
IND132001AAA,IND131028AAB,1.8056603773584907,2.4256928353378204,6,111.5,62.5,82.22625
IND132001AAA,IND132103AAA,2.798529411764706,2.798529411764706,2,78.0,27.0,31.2817
IND132001AAA,IND132103AAB,3.25,5.708216947597753,5,104.0,27.0,30.6445
IND132103AAA,IND131028AAB,1.7941176470588236,2.2287246931980995,9,61.0,35.0,47.0776
IND132103AAA,IND132001AAA,1.7266233766233765,1.6739756094461977,10,49.5,30.5,34.844300000000004
IND132103AAB,IND131028AAB,1.8823529411764706,2.3866721639025523,18,63.5,34.0,46.00085
IND132103AAB,IND132001AAA,1.5142857142857142,1.5056277056277056,4,39.0,25.5,31.564300000000003
IND133004AAA,IND135001AAA,1.7765780730897012,1.8662080011499707,18,75.5,43.0,48.09885
IND134102AAA,IND174103AAA,2.75,2.9194395065718597,16,38.5,14.0,19.85415
IND134109AAA,IND160002AAC,1.2379310344827585,3.9372824340589765,60,35.0,26.0,25.2083
IND134203AAA,IND140501AAA,1.4935897435897436,1.4665473372306397,56,52.5,31.5,37.7312
IND134203AAA,IND160002AAC,3.411764705882353,3.5368520223009385,5,101.0,27.0,31.8586
IND135001AAA,IND173025AAA,2.267948717948718,2.354528916624199,36,101.5,44.5,57.99225
IND136027AAA,IND132039AAA,1.7100840336134453,1.8727867996775558,42,55.0,34.0,39.02415
IND136118AAA,IND136128AAA,1.3869047619047619,1.397820265042052,44,35.0,25.0,26.42335
IND136128AAA,IND136027AAA,2.0540935672514617,2.0491907294670804,44,37.5,18.0,26.41855
IND140001AAA,IND140118AAA,1.7575757575757576,1.7609736201295505,38,46.0,28.0,34.17315
IND140118AAA,IND160002AAC,1.42,1.4432371102820227,85,114.0,76.0,74.854
IND140301AAA,IND140001AAA,1.6666666666666667,1.826085589703602,42,39.5,23.0,25.8243
IND140301AAA,IND140901AAA,1.9285714285714286,1.9664594177752073,38,27.5,14.0,15.1131
IND140401AAA,IND000000ACA,2.230884109916368,2.1801756955276086,12,93.0,39.0,55.980450000000005
IND140401AAA,IND142401AAA,1.5757575757575757,1.607357173889432,9,49.0,31.0,44.3487
IND140401AAA,IND147301AAA,1.4057971014492754,1.4057971014492754,2,27.0,19.0,27.50215
IND140406AAA,IND140401AAA,1.0952380952380953,1.2265227054773238,14,28.5,24.5,30.74555
IND140501AAA,IND160002AAC,2.0625,2.0213773971126914,28,32.5,16.0,14.5763
IND140901AAA,IND160002AAC,1.2778327560613558,1.3263102166980512,84,39.5,35.0,28.7411
IND140901AAA,IND160055AAA,1.7857142857142858,1.8456867315690846,40,22.5,13.0,12.8407
IND141003AAB,IND000000ACA,1.7937062937062938,1.8736388611388612,8,20.0,11.0,15.26175
IND141003AAB,IND141109AAA,0.8970588235294117,0.8970588235294117,2,37.0,40.5,35.04075
IND141003AAB,IND142026AAA,1.6774193548387097,1.681742338105004,42,39.0,27.5,37.92535
IND141010AAA,IND000000ACA,1.8181818181818181,1.8181818181818181,2,20.0,11.0,15.531
IND141109AAA,IND000000ACA,1.1785714285714286,1.276273644498045,36,62.5,51.0,46.553250000000006
IND141115AAA,IND000000ACA,1.4333333333333333,1.4563827787070793,27,41.0,30.0,29.368
IND142001AAB,IND151001AAA,1.9686147186147185,1.9597912302751013,4,116.5,55.5,63.7251
IND142001AAB,IND152026AAA,1.6830357142857144,1.692624803909912,116,71.0,46.0,59.0886
IND142026AAA,IND000000ACA,2.7,2.511111111111111,3,108.0,40.0,53.5515
IND142026AAA,IND141109AAA,1.436904761904762,1.4349322380024134,18,51.0,35.0,23.547849999999997
IND142401AAA,IND000000ACA,1.84375,1.9494259545923633,12,38.0,20.0,28.5001
IND143001AAA,IND144001AAB,1.9797959183673468,2.0805275603495774,76,84.5,42.0,59.81949999999999
IND144001AAA,IND144040AAA,1.7894736842105263,1.9239073787409702,30,33.0,18.5,24.91015
IND144001AAB,IND000000ACA,2.2857142857142856,2.2853405397910733,69,96.0,39.0,55.6
IND144001AAB,IND143001AAA,1.4903810580836108,1.4701555534240645,68,69.5,44.5,61.0371
IND144001AAB,IND144401AAB,1.5,1.921029291221599,26,17.0,12.0,12.673449999999999
IND144001AAB,IND144601AAA,3.53125,3.899611928104575,4,56.5,16.5,19.59835
IND144001AAB,IND160002AAC,3.375,4.173983055550566,7,194.0,71.0,100.8157
IND144001AAC,IND000000ACA,1.8987394957983192,2.0549255982606836,40,67.5,34.5,49.64575
IND144001AAC,IND160002AAC,2.1318840579710145,2.1662468737099823,254,132.0,58.0,82.86465
IND144040AAA,IND144001AAB,2.057565789473684,2.0956578109712782,18,39.5,19.0,26.661450000000002
IND144401AAB,IND144001AAB,1.8819444444444444,2.0829052483464245,34,18.0,9.0,12.9795
IND144514AAA,IND000000ACA,1.5495689655172413,1.5495689655172413,2,72.0,45.0,43.25705
IND144514AAA,IND141115AAA,1.7211538461538463,1.626198681843843,10,46.5,28.0,26.1027
IND144527AAA,IND141115AAA,1.8303167420814481,1.793354997399115,8,56.0,30.5,29.8988
IND144601AAA,IND144001AAA,2.0018382352941178,2.0018382352941178,2,33.0,16.5,21.46695
IND144601AAA,IND144040AAA,1.3924682395644283,1.3924682395644283,2,45.0,33.5,43.661249999999995
IND145001AAA,IND176201AAA,1.7916666666666667,1.9461193568336426,7,43.0,22.0,17.6282
